,FILTER,EXP-TIME,DATE-OBS,XBINNING,IMAGE-NAME
225,R,20.0,2019-06-01T22:26:11,2,1998OH_20s_b2x2-119_R.fit
226,R,20.0,2019-06-01T22:26:33,2,1998OH_20s_b2x2-120_R.fit
227,R,20.0,2019-06-01T22:26:55,2,1998OH_20s_b2x2-121_R.fit
228,R,20.0,2019-06-01T22:27:18,2,1998OH_20s_b2x2-122_R.fit
229,R,20.0,2019-06-01T22:27:40,2,1998OH_20s_b2x2-123_R.fit
230,R,20.0,2019-06-01T22:28:02,2,1998OH_20s_b2x2-124_R.fit
231,R,20.0,2019-06-01T22:28:24,2,1998OH_20s_b2x2-125_R.fit
232,R,20.0,2019-06-01T22:28:46,2,1998OH_20s_b2x2-126_R.fit
233,R,20.0,2019-06-01T22:29:09,2,1998OH_20s_b2x2-127_R.fit
234,R,20.0,2019-06-01T22:29:32,2,1998OH_20s_b2x2-128_R.fit
235,R,20.0,2019-06-01T22:29:54,2,1998OH_20s_b2x2-129_R.fit
236,R,20.0,2019-06-01T22:30:17,2,1998OH_20s_b2x2-130_R.fit
237,R,20.0,2019-06-01T22:30:40,2,1998OH_20s_b2x2-131_R.fit
238,R,20.0,2019-06-01T22:31:03,2,1998OH_20s_b2x2-132_R.fit
239,R,20.0,2019-06-01T22:31:25,2,1998OH_20s_b2x2-133_R.fit
240,R,20.0,2019-06-01T22:31:48,2,1998OH_20s_b2x2-134_R.fit
241,R,20.0,2019-06-01T22:32:11,2,1998OH_20s_b2x2-135_R.fit
242,R,20.0,2019-06-01T22:32:33,2,1998OH_20s_b2x2-136_R.fit
243,R,20.0,2019-06-01T22:32:56,2,1998OH_20s_b2x2-137_R.fit
244,R,20.0,2019-06-01T22:33:18,2,1998OH_20s_b2x2-138_R.fit
245,R,20.0,2019-06-01T22:33:41,2,1998OH_20s_b2x2-139_R.fit
246,R,20.0,2019-06-01T22:34:04,2,1998OH_20s_b2x2-140_R.fit
247,R,20.0,2019-06-01T22:34:26,2,1998OH_20s_b2x2-141_R.fit
248,R,20.0,2019-06-01T22:34:49,2,1998OH_20s_b2x2-142_R.fit
